date,strategy_xs_r,MKT_Factor,Daily_IR,rebal
1990-04-01,-0.0014958904109589,0.0062868232201581,0.0014958904109589,True
1990-04-08,0.00373538945041681,0.0037353894504167,0.0014882191780821,True
1990-04-15,0.014263653174258505,0.0142636531742584,0.0015156438356164,True
1990-04-22,0.027964206737142287,-0.0279642067371425,0.0015187123287671,True
1990-04-29,-0.01643930006174705,-0.016439300061747,0.001530602739726,True
1990-05-06,0.028461451198326732,0.0284614511983266,0.0014882191780821,True
1990-05-13,0.03699912358654375,0.0369991235865436,0.0015087397260273,True
1990-05-20,-0.0073328198733177375,0.0073328198733178,0.0015146849315068,True
1990-05-27,-0.0015377725743933584,0.0015377725743931,0.0015004931506849,True
1990-06-03,-0.023890293811224938,0.0238902938112247,0.0015047123287671,True
1990-06-10,0.010943605195269011,-0.0109436051952687,0.0015066301369863,True
1990-06-17,-0.012662386103293193,0.0126623861032933,0.0014747945205479,True
1990-06-24,0.017096026672612234,-0.0170960266726124,0.0015187123287671,True
1990-07-01,-0.007965370188602966,0.0079653701886027,0.0015127671232876,True
1990-07-08,-0.0046718265592465315,0.0046718265592464,0.001486301369863,True
1990-07-15,-0.021672950301307392,0.0216729503013072,0.0014575342465753,True
1990-07-22,0.01250877222438263,-0.0125087722243826,0.001476904109589,True
1990-07-29,0.02579376156519348,-0.0257937615651937,0.0014728767123287,True
1990-08-05,0.025987838915527094,-0.0259878389155271,0.0014310684931506,True
1990-08-12,0.02593786475045053,-0.0259378647504505,0.001423205479452,True
1990-08-19,-0.02417363840076687,-0.024173638400767,0.001462904109589,True
1990-08-26,-0.05164002961185115,-0.0516400296118511,0.0014573424657534,True
1990-09-02,0.03837630113560463,0.0383763011356045,0.0014406575342465,True
1990-09-09,0.0015376670273360463,0.0015376670273359,0.0014429589041095,True
1990-09-16,-0.01949890317088356,-0.0194989031708836,0.0014410410958904,True
1990-09-23,-0.019223784684808613,-0.0192237846848086,0.0014391232876712,True
1990-09-30,-0.016020007262337085,-0.0160200072623372,0.0013932876712328,True
1990-10-07,0.024872762387249458,0.0248727623872494,0.0013752602739726,True
1990-10-14,-0.03853267254570366,-0.0385326725457038,0.0013953972602739,True
1990-10-21,0.045301008075462376,0.0453010080754623,0.0014032602739726,True
1990-10-28,-0.02341968251725412,-0.0234196825172541,0.0013673972602739,True
1990-11-04,0.022277449802828385,0.0222774498028283,0.0013813972602739,True
1990-11-11,0.007469706855009727,0.0074697068550096,0.0013771780821917,True
1990-11-18,0.011647185714385708,0.0116471857143856,0.001383506849315,True
1990-11-25,-0.003509668551203555,-0.0035096685512036,0.0013716164383561,True
1990-12-02,0.02099346571858526,0.0209934657185852,0.0013735342465753,True
1990-12-09,0.017192355417482694,0.0171923554174826,0.0013457260273972,True
1990-12-16,-0.001246784380747473,-0.0012467843807475,0.0013136986301369,True
1990-12-23,0.012720924621558787,0.0127209246215587,0.0012799452054794,True
1990-12-30,-0.00889135209427315,-0.0088913520942732,0.0012369863013698,True
1991-01-06,-0.02485801408006458,-0.0248580140800647,0.0012523287671232,True
1991-01-13,-0.017645147848882443,-0.0176451478488825,0.0011813698630136,True
1991-01-20,0.05263433516019696,0.0526343351601968,0.0012016986301369,True
1991-01-27,0.012269848108523464,0.0122698481085233,0.0011832876712328,True
1991-02-03,0.02058456961895752,0.0205845696189574,0.0011506849315068,True
1991-02-10,0.046404615872052905,0.0464046158720528,0.0011698630136986,True
1991-02-17,-0.027454675076508502,0.0274546750765085,0.0011656438356164,True
1991-02-24,0.0010580347270465291,-0.0010580347270467,0.001175808219178,True
1991-03-03,-0.008831747601202134,0.008831747601202,0.0012072602739726,True
1991-03-10,-0.014748010885916082,0.0147480108859161,0.0011809863013698,True
1991-03-17,0.003915653920449314,-0.0039156539204493,0.0011470410958904,True
1991-03-24,0.008828230416488206,-0.0088282304164881,0.0011610410958904,True
1991-03-31,-0.019782935100297466,0.0197829351002972,0.0011349589041095,True
1991-04-07,-0.003274625040482337,0.0032746250404821,0.0011270958904109,True
1991-04-14,-0.011097244977875897,0.0110972449778758,0.0010887397260273,True
1991-04-21,-0.006530828143884221,0.0065308281438842,0.0011368767123287,True
1991-04-28,0.016731463146150878,-0.0167314631461508,0.0011107945205479,True
1991-05-05,-0.004425687864268614,0.0044256878642684,0.0010797260273972,True
1991-05-12,0.013189659487028167,-0.0131896594870283,0.0010768493150684,True
1991-05-19,0.010411043628351584,-0.0104110436283515,0.0010697534246575,True
1991-05-26,-0.016461359940288023,0.016461359940288,0.0010666849315068,True
1991-06-02,-0.02611629692045236,0.026116296920452,0.0010939178082191,True
1991-06-09,0.027371219464626444,-0.0273712194646268,0.0011008219178082,True
1991-06-16,-0.007906946155133453,0.0079069461551335,0.0011048493150684,True
1991-06-23,0.013696614031504621,-0.0136966140315048,0.0011008219178082,True
1991-06-30,0.0180543566020222,-0.0180543566020221,0.0010927671232876,True
1991-07-07,-0.00926110156618691,0.009261101566187,0.0011029315068493,True
1991-07-14,-0.019546515228549784,0.0195465152285499,0.0010967945205479,True
1991-07-21,-0.008420468746037475,0.0084204687460373,0.0011008219178082,True
1991-07-28,0.008576422675168408,-0.0085764226751683,0.0011029315068493,True
1991-08-04,-0.020730434605935818,0.0207304346059357,0.0010808767123287,True
1991-08-11,-0.004034139947996441,0.0040341399479962,0.0010507671232876,True
1991-08-18,0.0016279375616716203,-0.0016279375616717,0.0010327397260273,True
1991-08-25,-0.021850461419910514,0.0218504614199102,0.0010647671232876,True
1991-09-01,-0.004663374908598829,0.0046633749085989,0.0010528767123287,True
