date,strategy_xs_r,_MKT,IR,rebal
2013-03-24,-1.3222222222222225e-05,-0.0009240429220749,1.3222222222222225e-05,True
2013-03-31,0.009133862877109013,0.0091476684326645,1.3805555555555551e-05,True
2013-04-07,-0.010189294735654868,-0.0101764614023215,1.2833333333333331e-05,True
2013-04-14,0.023885936550195285,0.0238977976613063,1.1861111111111111e-05,True
2013-04-21,-0.01928689691826352,-0.0192769802515968,9.916666666666666e-06,True
2013-04-28,0.016926039597993804,0.0169363451535493,1.0305555555555556e-05,True
2013-05-05,0.01971589002226698,0.0197258066889336,9.916666666666666e-06,True
2013-05-12,0.012805210349396454,0.0128131825716186,7.972222222222223e-06,True
2013-05-19,0.020118458676466434,0.0201252642320219,6.8055555555555566e-06,True
2013-05-26,-0.01207817540286047,-0.0120698142917494,8.361111111111111e-06,True
2013-06-02,-0.013265446564885415,-0.0132580576759965,7.388888888888888e-06,True
2013-06-09,0.007189976791835965,0.0071989212362804,8.944444444444444e-06,True
2013-06-16,-0.008980615938318457,-0.008971671493874,8.944444444444444e-06,True
2013-06-23,-0.023202716859140778,-0.0231937724146963,8.944444444444444e-06,True
2013-06-30,0.012100536908486993,0.0121073424640425,6.8055555555555566e-06,True
2013-07-07,0.01571459630542009,0.0157225685276423,7.972222222222223e-06,True
2013-07-14,0.03087596507979902,0.0308833539686879,7.388888888888888e-06,True
2013-07-21,0.007024540713829718,0.0070294018249408,4.861111111111111e-06,True
2013-07-28,0.00020090888621562602,0.0002047977751045,3.88888888888889e-06,True
2013-08-04,0.011170454501569605,0.0111772600571251,6.8055555555555566e-06,True
2013-08-11,-0.009239881035922291,-0.0092295754803667,1.0305555555555556e-05,True
2013-08-18,-0.022853005091724395,-0.0228440606472799,8.944444444444444e-06,True
2013-08-25,0.006650275892241469,0.0066561092255748,5.833333333333332e-06,True
2013-09-01,-0.018007857245469074,-0.018002996134358,4.861111111111111e-06,True
2013-09-08,0.013717002889066103,0.0137208917779549,3.88888888888889e-06,True
2013-09-15,0.021229732306224536,0.0212332323062245,3.5e-06,True
2013-09-22,0.01446853030628322,0.0144714469729498,2.916666666666666e-06,True
2013-09-29,-0.008927562781174988,-0.0089236738922861,3.88888888888889e-06,True
2013-10-06,0.0005121459416985187,0.0005175903861429,5.444444444444446e-06,True
2013-10-13,0.0070739270057207345,0.0070871492279429,1.3222222222222225e-05,True
2013-10-20,0.025379894442287537,0.0253857277756208,5.833333333333332e-06,True
2013-10-27,0.009061813385540674,0.0090686189410962,6.8055555555555566e-06,True
2013-11-03,-0.0004569185092399707,-0.0004489462870177,7.972222222222223e-06,True
2013-11-10,0.001912590239939016,0.0019244513510501,1.1861111111111111e-05,True
2013-11-17,0.01677406590183672,0.0167894270129478,1.5361111111111113e-05,True
2013-11-24,0.0015524488425479345,0.0015672266203257,1.4777777777777777e-05,True
2013-12-01,0.0009311804630453668,0.0009430415741564,1.1861111111111111e-05,True
2013-12-08,-5.359191213387683e-05,-4.173080102276572e-05,1.1861111111111111e-05,True
2013-12-15,-0.014890484754246019,-0.0148776514209127,1.2833333333333331e-05,True
2013-12-22,0.0241274461959833,0.0241402795293166,1.2833333333333331e-05,True
2013-12-29,0.012418716776281941,0.0124315501096152,1.2833333333333331e-05,True
2014-01-05,-0.00440056555383739,-0.0043873433316152,1.3222222222222225e-05,True
2014-01-12,0.007042395211298943,0.0070503674335211,7.972222222222223e-06,True
2014-01-19,-0.0011571838168544899,-0.0011503782612989,6.8055555555555566e-06,True
2014-01-26,-0.024381430977833525,-0.0243724865333891,8.944444444444444e-06,True
2014-02-02,-0.002356796007759817,-0.0023529071188709,3.88888888888889e-06,True
2014-02-09,0.007036077860315614,0.0070528000825378,1.6722222222222222e-05,True
2014-02-16,0.024187077597209974,0.0241909664860988,3.88888888888889e-06,True
2014-02-23,0.0006265931473887065,0.0006345653696109,7.972222222222223e-06,True
2014-03-02,0.013416843760315543,0.0134267604269822,9.916666666666666e-06,True
2014-03-09,0.009414641655492363,0.0094249472110479,1.0305555555555556e-05,True
2014-03-16,-0.017900903715650195,-0.0178905981600946,1.0305555555555556e-05,True
2014-03-23,0.011914297372268602,0.0119246029278241,1.0305555555555556e-05,True
2014-03-30,-0.00597990551847745,-0.0059719332962552,7.972222222222223e-06,True
2014-04-06,0.004367688120640122,0.0043725492317512,4.861111111111111e-06,True
2014-04-13,-0.025360563614197404,-0.0253531747253085,7.388888888888888e-06,True
2014-04-20,0.026872092599610136,0.0268779259329434,5.833333333333332e-06,True
2014-04-27,-0.0016681277471625542,-0.0016652110804959,2.916666666666666e-06,True
2014-05-04,0.01135571629283649,0.0113601885150587,4.472222222222222e-06,True
2014-05-11,-0.0022988652506137886,-0.0022934208061693,5.444444444444446e-06,True
2014-05-18,0.00025253897932533736,0.0002564278682142,3.88888888888889e-06,True
2014-05-25,0.012178414325073392,0.01218483099174,6.4166666666666665e-06,True
2014-06-01,0.012007221110789546,0.0120140266663451,6.8055555555555566e-06,True
2014-06-08,0.014409390816682252,0.0144158074833489,6.4166666666666665e-06,True
2014-06-15,-0.007287767265157019,-0.0072809617096015,6.8055555555555566e-06,True
2014-06-22,0.01498031647228686,0.0149838164722868,3.5e-06,True
2014-06-29,-0.0005578219266816873,-0.0005523774822372,5.444444444444446e-06,True
2014-07-06,0.012203741042601813,0.0122056854870462,1.944444444444445e-06,True
2014-07-13,-0.009204080211376727,-0.0092001913224878,3.88888888888889e-06,True
2014-07-20,0.00498305166392817,0.0049859683305948,2.916666666666666e-06,True
