date,CAPE,STP,M2,_OIL,MKT_Target,MKT_Return,lagged_MKT,Daily_IR,MKT_Factor
1989-01-31,0.04325550867095718,-0.15499999999999936,-0.12186901897927616,17.74,0.05436669898752999,0.05436669898752999,0.05436669898752999,0.007074794520547946,0.047291904466982046
1989-02-28,-0.027919479998133934,-0.2270000000000003,-0.17755920618885845,18.07,-0.01980409769451219,-0.01980409769451219,-0.01980409769451219,0.006635616438356165,-0.026439714132868355
1989-03-31,0.0028067791830586053,-0.44399999999999906,-0.11807976749232418,20.15,0.012502181881654861,0.012502181881654861,0.012502181881654861,0.00795808219178082,0.004544099689874041
1989-04-30,0.06375632440727985,-0.23099999999999987,-0.1412129863250855,20.42,0.0775778472147397,0.0775778472147397,0.0775778472147397,0.006912328767123288,0.07066551844761641
1989-05-31,0.03757640231920467,-0.2829999999999995,-0.11258722802628185,19.52,0.048055194480552066,0.048055194480552066,0.048055194480552066,0.007236164383561644,0.04081903009699042
1989-06-30,0.018119986462951765,-0.14700000000000024,0.040324429207727164,19.7,0.02450007632422513,0.02450007632422513,0.02450007632422513,0.006616438356164383,0.017883637968060744
1989-07-31,0.04269357373833094,0.1980000000000004,0.1586343234672678,17.93,0.05077106459062808,0.05077106459062808,0.05077106459062808,0.006675616438356165,0.04409544815227191
1989-08-31,0.02076756548456915,-0.10400000000000098,0.14980373011524017,18.51,0.026268212272678948,0.026268212272678948,0.026268212272678948,0.006760547945205479,0.01950766432747347
1989-09-30,-0.02012834647218842,-0.09799999999999898,0.10075648992663844,19.28,-0.013212435233160624,-0.013212435233160624,-0.013212435233160624,0.006378082191780822,-0.019590517424941445
1989-10-31,-0.028698825897410796,-0.04999999999999982,0.09005696136260921,19.75,-0.019567690557451778,-0.019567690557451778,-0.019567690557451778,0.006590684931506849,-0.026158375488958628
1989-11-30,0.026779941749957903,0.13399999999999945,0.023475975675169014,19.8,0.032882874841566156,0.032882874841566156,0.032882874841566156,0.006172602739726028,0.026710272101840127
1989-12-31,0.022218019951416146,-0.0259999999999998,0.06792193530395885,21.8,0.028275635596882065,0.028275635596882065,0.028275635596882065,0.006607671232876713,0.02166796436400535
1990-01-31,-0.09700228060601779,0.0990000000000002,0.062492625977991434,22.55,-0.0802084208757039,-0.0802084208757039,-0.0802084208757039,0.006655232876712329,-0.08686365375241623
1990-02-28,-0.009579703940722162,0.14499999999999957,0.06558426247022542,21.75,-0.0015167297114559997,-0.0015167297114559997,-0.0015167297114559997,0.006002739726027397,-0.007519469437483397
